update,time_sec,valid_steps,mean_reward,mean_return,mean_advantage,done_fraction,episodes_finished,mean_episode_return,mean_episode_length,total_env_steps,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,total_loss,num_updates
15.0,290.91458106040955,512.0,-4.332331657409668,-218.3367156982422,-8.548660278320312,0.0078125,4.0,-451.6180419921875,95.75,1405440.0,0.008071827919532855,112.84948755900065,3.5289029836654664,0.10705655614535013,0.373046875,56.397526295979816,915.0
16.0,309.0200877189636,512.0,-4.03233528137207,-210.21136474609375,-4.593111038208008,0.0078125,4.0,-487.83887481689453,116.5,1406976.0,0.012770930926005045,37.64512507120768,3.531937273343404,0.0754673927401503,0.286328125,18.80001417795817,916.0
17.0,334.4711081981659,512.0,-4.1029372215271,-211.1934814453125,-13.604789733886719,0.005859375,3.0,-635.9524536132812,143.0,1408512.0,-0.006911739334464073,258.9485549926758,3.532875347137451,0.04313117936253548,0.1728515625,129.43203735351562,917.0
18.0,353.77072858810425,512.0,-4.726109027862549,-216.53260803222656,-9.03719425201416,0.009765625,5.0,-477.80303955078125,100.0,1410048.0,-0.014756864495575428,146.75460255940754,3.538596272468567,0.05839863910029332,0.22415364583333333,73.32715911865235,918.0
19.0,372.6804599761963,512.0,-4.4256486892700195,-220.3536834716797,-17.817323684692383,0.005859375,3.0,-657.0691935221354,127.33333333333333,1411584.0,0.051368407501528664,435.11834309895835,3.540660834312439,0.15210612664620082,0.25338541666666664,217.57513427734375,919.0
20.0,393.3854398727417,512.0,-4.489933013916016,-211.30517578125,-12.185791969299316,0.0078125,4.0,-528.9977951049805,106.25,1413120.0,-0.01830842278432101,316.10451151529946,3.5361905097961426,0.06204623704155286,0.21438802083333333,157.99858652750652,920.0,-475.41929931640624,87.24863214763734,103.2,0.0,1.0,0.0,1.0
21.0,437.11026096343994,512.0,-4.345424652099609,-206.9425506591797,-14.248077392578125,0.005859375,3.0,-548.2067260742188,109.33333333333333,1414656.0,-0.0137137519971778,697.0930562337239,3.5371399482091266,0.10468518286943436,0.28684895833333335,348.4974365234375,921.0
22.0,457.1468663215637,512.0,-3.8559792041778564,-217.60301208496094,-7.309885501861572,0.005859375,3.0,-576.8494466145834,139.66666666666666,1416192.0,-0.008890462977190813,83.58005816141764,3.541276701291402,0.1589457407593727,0.2708333333333333,41.74572601318359,922.0
23.0,475.108060836792,512.0,-4.164526462554932,-211.8359832763672,-6.755209445953369,0.0078125,4.0,-470.0626678466797,104.5,1417728.0,-0.012421947034696738,159.91710739135743,3.5412134726842246,0.09570232269664605,0.23704427083333332,79.91071917215983,923.0
24.0,492.6932849884033,512.0,-4.655277252197266,-219.23004150390625,-15.567957878112793,0.0078125,4.0,-580.9171600341797,121.75,1419264.0,-0.0007052322539190452,327.46547546386716,3.5373238643010456,0.14888250877459844,0.26119791666666664,163.69666035970053,924.0
25.0,512.1034605503082,512.0,-4.864157199859619,-222.747802734375,-19.05284881591797,0.0078125,4.0,-602.3579711914062,119.25,1420800.0,0.009137196528414885,539.8714569091796,3.5342972675959268,0.16088913703958194,0.298828125,269.90952657063804,925.0
26.0,534.7747731208801,512.0,-4.715526103973389,-212.6946258544922,-9.869202613830566,0.009765625,5.0,-479.5867980957031,101.2,1422336.0,-0.02290722175190846,280.63188985188805,3.538819106419881,0.08028075819214185,0.1759765625,140.25764923095704,926.0
27.0,557.7187113761902,512.0,-5.046651363372803,-212.589599609375,-24.79766273498535,0.0078125,4.0,-641.3277969360352,126.25,1423872.0,-0.005184950462232034,1567.0520426432292,3.5504812240600585,0.0694723545263211,0.240234375,783.4853312174479,927.0
28.0,583.3742680549622,512.0,-4.277669906616211,-216.38307189941406,-7.854650974273682,0.0078125,4.0,-495.9469528198242,105.5,1425408.0,-0.0007201509705434243,137.88677571614582,3.5490101019541425,0.12826244235038758,0.3,68.90717709859213,928.0
29.0,606.1963171958923,512.0,-4.230090618133545,-217.9676055908203,-7.458075046539307,0.0078125,4.0,-442.24315643310547,91.75,1426944.0,-0.011257845691094797,142.51227849324545,3.5445158163706463,0.1987205723921458,0.2982421875,71.20943705240886,929.0
30.0,624.4121978282928,512.0,-4.397310256958008,-217.6807861328125,-10.653303146362305,0.0078125,4.0,-547.0434265136719,121.5,1428480.0,0.020344708984096845,196.94935404459636,3.5498364925384522,0.16575125580032665,0.2568359375,98.45952326456705,930.0,-456.71949462890626,49.33272564964584,102.2,0.0,1.0,0.0,1.0
31.0,671.5161476135254,512.0,-4.380948543548584,-220.0626983642578,-9.249842643737793,0.0078125,4.0,-486.3870086669922,105.75,1430016.0,-0.012349310175826153,120.81803614298502,3.5611815134684246,0.12645899926622708,0.19615885416666667,60.361056391398115,931.0
32.0,695.7168405056,512.0,-3.832329511642456,-173.6712188720703,-8.752936363220215,0.005859375,3.0,-431.73523966471356,86.33333333333333,1431552.0,-0.01070048037605981,583.6620580037435,3.570746819178263,0.06876691083113352,0.24615885416666666,291.784619140625,932.0
33.0,718.432540178299,512.0,-4.0943732261657715,-215.8577117919922,-4.7430243492126465,0.0078125,4.0,-474.2322998046875,107.75,1433088.0,-0.020547787519171835,35.74190375010173,3.573226539293925,0.1175012294203043,0.2734375,17.814671993255615,933.0
34.0,736.1108696460724,512.0,-3.4481544494628906,-214.01129150390625,-8.28136157989502,0.00390625,2.0,-635.3305511474609,165.0,1434624.0,-0.010772750495622556,99.4201555887858,3.5728134155273437,0.11086308558781942,0.22291666666666668,49.66357638041178,934.0
35.0,754.8948259353638,512.0,-4.539142608642578,-215.9644775390625,-4.745967388153076,0.009765625,5.0,-459.0531372070312,100.2,1436160.0,-0.0026151678524911405,28.196947606404624,3.5734222809473675,0.06831919103860855,0.2158203125,14.060124365488688,935.0
36.0,773.2238953113556,512.0,-4.558593273162842,-214.5613555908203,-5.758870601654053,0.009765625,5.0,-466.2150817871094,102.2,1437696.0,-0.006110652815550566,55.45422617594401,3.574370288848877,0.10792584493756294,0.19869791666666667,27.68525848388672,936.0
37.0,790.7050049304962,512.0,-3.3679943084716797,-182.22727966308594,2.9502880573272705,0.005859375,3.0,-457.9994303385417,105.66666666666667,1439232.0,-0.007678640354424715,77.93103307088217,3.5706134557724,0.04983875049899022,0.18776041666666668,38.92213102976481,937.0
38.0,809.0005767345428,512.0,-4.188635349273682,-215.80763244628906,-6.424249172210693,0.0078125,4.0,-515.8356170654297,119.75,1440768.0,-0.015089946861068407,62.8561341603597,3.5727574110031126,0.15046265125274658,0.2884114583333333,31.37724978129069,938.0
39.0,831.7595002651215,512.0,-4.0687055587768555,-212.4676971435547,-4.463815689086914,0.0078125,4.0,-496.85560607910156,118.0,1442304.0,-0.01229184822489818,39.88508656819661,3.5810116052627565,0.09670541919767857,0.20240885416666668,19.89444128672282,939.0
40.0,866.329897403717,512.0,-4.3957133293151855,-218.16685485839844,-9.782959938049316,0.0078125,4.0,-523.128303527832,112.25,1443840.0,-0.017692396541436513,160.68499196370442,3.5853586355845133,0.22370073720812797,0.22688802083333334,80.28895009358725,940.0,-473.76484375,88.1308856661178,103.0,0.0,1.0,0.0,0.0
