update,time_sec,valid_steps,mean_reward,mean_return,mean_advantage,done_fraction,episodes_finished,mean_episode_return,mean_episode_length,total_env_steps,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,total_loss,num_updates
1.0,1.3609368801116943,256.0,-3.129465103149414,-49.303096771240234,-49.294857025146484,0.0,0.0,0.0,0.0,768.0,0.03900074434932321,1240.9483642578125,1.838797189295292,0.143891033854743,0.4886474609375,620.4948120117188,1.0
2.0,2.3541738986968994,256.0,-3.229895830154419,-52.07118225097656,-50.58964920043945,0.0,0.0,0.0,0.0,1536.0,-0.00664710282580927,1308.2740936279297,1.8389135599136353,0.025368913589773,0.291015625,654.1120338439941,2.0
3.0,3.3261899948120117,256.0,-3.873461961746216,-51.78944778442383,-48.70577621459961,0.00390625,1.0,-870.8201293945312,219.0,2304.0,0.009756692335940897,1295.2450942993164,1.8369539007544518,0.03498232261335943,0.340087890625,647.6139373779297,3.0
4.0,4.294982671737671,256.0,-3.297635316848755,-56.4593505859375,-51.11812210083008,0.0,0.0,0.0,0.0,3072.0,-0.00044067209819331765,1337.261215209961,1.836134396493435,0.018138944225938758,0.2568359375,668.6117935180664,4.0
5.0,5.249258756637573,256.0,-4.467021465301514,-54.674560546875,-47.42555618286133,0.0078125,2.0,-570.1568908691406,127.5,3840.0,0.01747181371320039,1269.4948425292969,1.8351610973477364,0.04795271144757862,0.432373046875,634.7465209960938,5.0
6.0,6.243507623672485,256.0,-3.2596147060394287,-58.0567741394043,-50.20399475097656,0.0,0.0,0.0,0.0,4608.0,0.01587907556677237,1290.459976196289,1.8356016129255295,0.04216265210197889,0.3580322265625,645.2274971008301,6.0
7.0,7.24722146987915,256.0,-3.891321897506714,-56.6479377746582,-47.34293746948242,0.00390625,1.0,-727.9519653320312,175.0,5376.0,0.006190167565364391,1240.389549255371,1.833500660955906,0.015353207094449317,0.21533203125,620.1826591491699,7.0
8.0,8.228293180465698,256.0,-3.868619203567505,-59.986419677734375,-49.787689208984375,0.00390625,1.0,-986.784423828125,255.0,6144.0,0.0010080088977701962,1307.0242767333984,1.8332543075084686,0.023331620042881696,0.262939453125,653.4948425292969,8.0
9.0,9.244809865951538,256.0,-3.89200758934021,-58.29005813598633,-47.62919998168945,0.00390625,1.0,-895.5711059570312,226.0,6912.0,0.009684102900791913,1248.4193115234375,1.8350548967719078,0.025866484436846804,0.2994384765625,624.2009696960449,9.0
10.0,10.257250785827637,256.0,-3.8185513019561768,-57.25336837768555,-46.02140426635742,0.00390625,1.0,-571.58935546875,131.0,7680.0,0.0032692315289750695,1168.4295196533203,1.8350601717829704,0.024566204083384946,0.26220703125,584.1996574401855,10.0,-939.9540771484375,3.939190585192447,264.8,0.0,1.0,0.0,1.0
11.0,15.830488920211792,256.0,-3.203240156173706,-59.2316780090332,-48.64995193481445,0.0,0.0,0.0,0.0,8448.0,-0.008335369697306305,1206.4320602416992,1.8349313586950302,0.015882304691331228,0.208251953125,603.1893310546875,11.0
12.0,16.90842366218567,256.0,-3.1131207942962646,-59.25397872924805,-46.859432220458984,0.0,0.0,0.0,0.0,9216.0,-0.005405229749158025,1125.3609619140625,1.832716777920723,0.01717665195974405,0.1973876953125,562.6567726135254,12.0
13.0,17.96756100654602,256.0,-3.0923805236816406,-59.3943977355957,-46.40304946899414,0.0,0.0,0.0,0.0,9984.0,-0.004136016999837011,1099.479232788086,1.828123815357685,0.01579731802121387,0.1953125,549.7171974182129,13.0
14.0,19.12175726890564,256.0,-3.120177984237671,-61.018157958984375,-46.78620529174805,0.0,0.0,0.0,0.0,10752.0,-0.0040751776250544935,1119.2260665893555,1.8182633817195892,0.019629071601229953,0.21728515625,559.5907707214355,14.0
15.0,20.266520977020264,256.0,-3.1562130451202393,-62.94081497192383,-47.236328125,0.0,0.0,0.0,0.0,11520.0,-0.00504253403050825,1141.0813369750977,1.8128174021840096,0.011505327089253115,0.154296875,570.5175018310547,15.0
16.0,21.38145685195923,256.0,-3.1087284088134766,-62.7359733581543,-46.25458908081055,0.0,0.0,0.0,0.0,12288.0,-0.0014362499059643596,1095.5701751708984,1.809633195400238,0.02816389717918355,0.28515625,547.7655487060547,16.0
17.0,22.533379793167114,256.0,-3.07061767578125,-62.613677978515625,-45.4996223449707,0.0,0.0,0.0,0.0,13056.0,-0.0030284436070360243,1062.6631546020508,1.8062680959701538,0.014795421873714076,0.1947021484375,531.310474395752,17.0
18.0,23.6478488445282,256.0,-5.056438446044922,-58.437408447265625,-40.345863342285156,0.01171875,3.0,-428.12282307942706,84.33333333333333,13824.0,-0.00044863257789984345,1094.6273651123047,1.802403301000595,0.01787136811981327,0.2283935546875,547.2952156066895,18.0
19.0,24.736774682998657,256.0,-3.1720354557037354,-65.24060821533203,-46.98334884643555,0.0,0.0,0.0,0.0,14592.0,-0.002083041879814118,1138.4061584472656,1.7968007624149323,0.016370015357097145,0.1734619140625,569.1830215454102,19.0
20.0,25.82170844078064,256.0,-5.087116241455078,-57.785003662109375,-38.69997024536133,0.01171875,3.0,-407.9377136230469,77.33333333333333,15360.0,-0.004023806541226804,1040.5653343200684,1.7922122552990913,0.013644178616232239,0.1719970703125,520.260705947876,20.0,-318.57208251953125,0.008256051214050052,54.0,0.0,1.0,0.0,1.0
21.0,27.933295965194702,256.0,-4.509031772613525,-61.22554397583008,-42.01158142089844,0.0078125,2.0,-402.07318115234375,75.5,16128.0,-0.008545150980353355,1097.2711791992188,1.7925317287445068,0.010150333946512546,0.1416015625,548.6091041564941,21.0
22.0,29.04733109474182,256.0,-3.8494346141815186,-63.97782516479492,-44.579708099365234,0.00390625,1.0,-339.1061706542969,57.0,16896.0,0.006182042823638767,1128.675926208496,1.7906563729047775,0.02311794968409231,0.285888671875,564.3262634277344,22.0
23.0,30.180957078933716,256.0,-3.758692979812622,-62.484798431396484,-42.99372863769531,0.00390625,1.0,-376.581787109375,68.0,17664.0,-0.005227241723332554,1052.4104461669922,1.7904150635004044,0.011109352442872478,0.156982421875,526.1821002960205,23.0
24.0,31.318464279174805,256.0,-3.823035478591919,-63.640777587890625,-44.09065628051758,0.00390625,1.0,-455.9523010253906,92.0,18432.0,-0.011810239404439926,1091.686809539795,1.7905865162611008,0.009559181235090364,0.12939453125,545.8137073516846,24.0
25.0,32.39083456993103,256.0,-3.818899154663086,-63.70268630981445,-43.926456451416016,0.00390625,1.0,-448.9730529785156,91.0,19200.0,0.012971894699148834,1095.73335647583,1.7896697521209717,0.02268221268968773,0.27294921875,547.8617630004883,25.0
