update,time_sec,valid_steps,mean_reward,mean_return,mean_advantage,done_fraction,episodes_finished,mean_episode_return,mean_episode_length,total_env_steps,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,total_loss,num_updates
29.0,48.023664474487305,512.0,-3.1082496643066406,-79.30026245117188,-42.247459411621094,0.001953125,1.0,-1435.8470458984375,458.0,44544.0,-0.002510847058147192,1040.0714579264322,1.8978277365366618,0.00878257246610398,0.120703125,520.0142364501953,29.0
30.0,49.297319650650024,512.0,-2.661875009536743,-72.5455093383789,-34.585201263427734,0.001953125,1.0,-1086.6063232421875,413.0,46080.0,-0.003872407569239537,741.1929768880208,1.899117894967397,0.014524177029185618,0.18268229166666666,370.57362467447916,30.0,-650.257080078125,0.0,267.0,0.0,1.0,0.0,1.0
31.0,52.617273569107056,512.0,-2.796215295791626,-75.55831146240234,-36.69805908203125,0.001953125,1.0,-1205.0223388671875,427.0,47616.0,-0.006003940027828018,809.4671468098958,1.9022144595781962,0.011431979162928959,0.15123697916666667,404.7085459391276,31.0
32.0,54.188637018203735,512.0,-2.1019556522369385,-67.1061019897461,-27.4609317779541,0.0,0.0,0.0,0.0,49152.0,-0.0034630778556068737,386.230126953125,1.903752295176188,0.009882999496767297,0.1314453125,193.09256286621093,32.0
33.0,56.15615630149841,512.0,-2.8391525745391846,-77.810546875,-37.15532302856445,0.001953125,1.0,-1100.661865234375,382.0,50688.0,-0.0038702743127942084,828.9343668619791,1.900053576628367,0.01224631568378148,0.16243489583333334,414.4443094889323,33.0
34.0,57.64277982711792,512.0,-3.1038618087768555,-80.83641815185547,-39.2768440246582,0.00390625,2.0,-767.670166015625,246.0,52224.0,-0.0013144810063143572,1032.466514078776,1.8917996366818746,0.009705485075634594,0.12037760416666667,516.2130167643229,34.0
35.0,59.32526707649231,512.0,-2.2704429626464844,-72.30382537841797,-29.86149024963379,0.0,0.0,0.0,0.0,53760.0,-0.0035179372566441695,452.384125773112,1.8888476649920145,0.006725957820890471,0.08880208333333334,226.1696538289388,35.0
36.0,61.28021574020386,512.0,-2.725706100463867,-78.18250274658203,-34.850528717041016,0.001953125,1.0,-998.7367553710938,355.0,55296.0,-0.00504683159912626,737.7911743164062,1.8900906801223756,0.01081989670637995,0.151171875,368.87164001464845,36.0
37.0,63.088412284851074,512.0,-2.356491804122925,-75.23419952392578,-31.02202796936035,0.0,0.0,0.0,0.0,56832.0,-0.002363435737788677,490.0348388671875,1.8909271836280823,0.00998730922389465,0.13138020833333333,244.99614766438802,37.0
38.0,64.64102292060852,512.0,-2.467059373855591,-75.20062255859375,-30.10040855407715,0.001953125,1.0,-860.224853515625,326.0,58368.0,-0.0036499358403186003,598.8445353190104,1.8853771726290385,0.008588649710873142,0.1109375,299.39976603190104,38.0
39.0,66.46014642715454,512.0,-2.918436050415039,-81.53710174560547,-35.555240631103516,0.00390625,2.0,-735.9569091796875,252.0,59904.0,-0.008901709380249182,879.5280253092448,1.8918347358703613,0.012776847011021648,0.16881510416666667,439.73618977864584,39.0
40.0,68.3108880519867,512.0,-3.707656145095825,-92.01325225830078,-45.146759033203125,0.005859375,3.0,-567.2397664388021,146.0,61440.0,-0.003035540661464135,1338.3646850585938,1.8969587604204814,0.011506646012033645,0.15045572916666666,669.1603271484375,40.0,-468.5516662597656,0.0,128.0,0.0,1.0,0.0,1.0
41.0,70.97445726394653,512.0,-2.5489656925201416,-78.63092803955078,-30.88957405090332,0.001953125,1.0,-764.1913452148438,282.0,62976.0,-0.0027625662352268893,609.3995178222656,1.8938535650571187,0.010039008412665378,0.13294270833333333,304.6780548095703,41.0
42.0,72.32087445259094,512.0,-2.9233245849609375,-83.78746795654297,-35.1754150390625,0.00390625,2.0,-742.6714935302734,254.0,64512.0,-0.003841488218555848,881.5942545572917,1.8904067635536195,0.010532904505574455,0.13893229166666668,440.7743886311849,42.0
43.0,73.73879551887512,512.0,-2.400214433670044,-77.61441802978516,-28.134199142456055,0.001953125,1.0,-929.931884765625,385.0,66048.0,-0.002264227345585823,532.2830942789714,1.8978853623072307,0.010881318763131276,0.14544270833333334,266.12030436197915,43.0
44.0,75.42692828178406,512.0,-2.5358846187591553,-80.65337371826172,-30.29276466369629,0.001953125,1.0,-770.6215209960938,259.0,67584.0,-0.004567322445412477,627.8427368164063,1.909894859790802,0.011582189751788975,0.14700520833333333,313.8977010091146,44.0
45.0,77.41297364234924,512.0,-2.294947385787964,-76.76526641845703,-26.24629783630371,0.001953125,1.0,-855.6433715820312,377.0,69120.0,-0.003930067488302787,488.4264200846354,1.9159899473190307,0.01285138213618969,0.16881510416666667,244.19012145996095,45.0
46.0,79.55224084854126,512.0,-2.7030365467071533,-84.26387786865234,-32.927101135253906,0.001953125,1.0,-1141.24365234375,412.0,70656.0,-0.006029212909440199,665.5137715657552,1.924317232767741,0.013507248344831168,0.16575520833333332,332.7316131591797,46.0
47.0,81.89159846305847,512.0,-2.346872329711914,-81.85328674316406,-29.572708129882812,0.0,0.0,0.0,0.0,72192.0,-0.001760900734613339,458.57952677408855,1.9314051310221354,0.009205528406891973,0.12154947916666667,229.26869049072266,47.0
48.0,83.72985410690308,512.0,-2.0648303031921387,-77.8963394165039,-24.65411949157715,0.0,0.0,0.0,0.0,73728.0,-0.003363671495268742,325.24122111002606,1.9240545074145,0.0070446061785332855,0.09166666666666666,162.59800618489584,48.0
49.0,85.35151243209839,512.0,-2.837773084640503,-88.81510162353516,-34.61231994628906,0.001953125,1.0,-1104.9522705078125,383.0,75264.0,-0.004371822904795408,700.8367858886719,1.912495489915212,0.014688629113758603,0.2005859375,350.3948964436849,49.0
50.0,87.04624152183533,512.0,-2.5213634967803955,-84.28862762451172,-29.125436782836914,0.001953125,1.0,-1009.92529296875,404.0,76800.0,-0.0005161528165141742,544.3142618815104,1.9170152306556703,0.0180115884655,0.21770833333333334,272.13745066324867,50.0,-855.0138549804688,0.0,396.0,0.0,1.0,0.0,0.0
